feature,d,p_raw,ci_excl0,p_FDR,gate
dabs_max_II,-0.3598981843170727,0.005924387323179956,True,0.009786359946822861,True
dasym_4_AVF,0.35979410996988714,0.0003713037496827478,True,0.0007315238053451151,True
sp_e_delta_hf_II,-0.35889614204909887,6.921635770717013e-05,True,0.0001495567729029926,True
spf_22_25_V2,-0.35855329663887875,0.012363421196734573,True,0.0196407960368256,True
impulse_V1,-0.35705625208197417,0.0039869647009460685,True,0.006842875586020912,True
zcr_V6,-0.35562382627517974,0.009389231297980187,True,0.015181696931700704,True
spf_38_40_V3,-0.35401983524552655,0.0011960557942623576,True,0.0022011064806957453,True
shape_I,0.3530854813767953,0.0004975266631403082,True,0.0009696761273553388,True
dasym_8_AVF,0.3517866730798079,0.0005588893169282531,True,0.001072004343698578,True
sp_entropy_V1,-0.35115989948334425,0.004772289500633863,True,0.008057400412698104,True
impulse_AVF,-0.3482719908848998,0.0043678028136266275,True,0.007452467315377043,True
slope_up_frac_V1,-0.34732699136540324,0.016217219682879685,True,0.02526545384070955,True
slope_updown_ratio_V4,0.34350037000933115,0.03569683422561932,True,0.051987766595385405,False
trev_2_V3,-0.34310140565624225,0.030173632668732343,True,0.04438917389564272,True
ac_mean_abs_V4,0.34098259103443174,0.0003654901036960487,True,0.0007220294293423982,True
p05_AVR,-0.34066817851186043,0.013031123944830773,True,0.020633797129655705,True
ncross_3sd_V1,0.3404764291779054,0.05989025733485914,True,0.08329564525882707,False
ac_lag300_AVF,-0.34037661621182796,0.001696613576762416,True,0.003048864991904738,True
sp_entropy_V3,-0.3402826473933464,0.00013889540590409171,True,0.0002897645536964672,True
sp_roll75_V2,-0.3385161344163437,0.009006331361013387,True,0.014611388978984846,True
d_std_I,0.33846334457101973,3.2353169496390962e-06,True,8.256028490115937e-06,True
d_std_V2,-0.3373424646125692,0.025992410473431295,True,0.03886815654729376,True
sp_roll75_V1,-0.3368817793854837,0.006667246180426689,False,0.010926457623001753,False
frac_gt_2sd_AVR,0.33664166321913874,0.0008479465077968533,True,0.001592779209988397,True
ncross_3sd_II,-0.3360201129150787,0.022328551360864448,True,0.033948750341335265,True
d_std_AVF,0.3351801381462572,0.005163391470030021,True,0.008647340731814983,True
tk_p95_V2,-0.3349466948531732,0.011847183113736837,True,0.01890341745180867,True
perm_ent_tau8_V6,-0.3338977972619933,0.004459730928372864,True,0.007582587011706556,True
ncross_3sd_AVR,-0.3335659055750201,0.030120821413392798,True,0.04435642260876911,True
spf_38_40_AVR,-0.33315994986855313,7.950673049314829e-07,True,2.1781843901141755e-06,True
spf_38_40_V6,-0.33253761177443925,2.775232524677555e-05,True,6.266932544061913e-05,True
sp_edge95_V2,-0.3325280206112381,0.020688280778152622,True,0.031520864312568314,True
spf_0_2_V3,-0.33223224190689343,0.017361495943710465,True,0.026761031964190655,True
sp_roll25_AVL,-0.33172720686728,0.001153234268441134,True,0.002130402236356904,True
sp_peak_AVF,-0.3311650156088775,0.09538657209523312,True,0.12683269476399128,False
frac_gt_2sd_AVF,0.33107873524981374,0.0014178890808003604,True,0.002583155514833279,True
ac_lag100_AVL,-0.33060496390457694,0.004444134745360056,True,0.00756868844963931,True
dabs_p95_V3,-0.3303400851485892,0.0020778620956880814,True,0.00367576283753076,True
mom5_AVF,-0.32998777995738104,0.0004895471249860534,True,0.000956692362691453,True
p95_II,0.3296839274376338,0.01675102745018296,True,0.02590254723926055,True
impulse_III,-0.3284162546845469,0.004638559008811708,True,0.007840730711053085,True
trev_4_V3,-0.3281477080536345,0.04105471545876512,True,0.05913834012512595,False
slope_updown_ratio_V2,0.3280437037500957,0.019952117553994637,False,0.030527370588409073,False
dasym_4_V6,-0.32774580872043596,0.004169536239838972,True,0.007139347429535599,True
dasym_8_V5,0.3268775964345124,0.007662495998094974,True,0.012515122822535321,True
tk_p95_V3,-0.3265982459848189,0.0008954137616416133,True,0.0016732828595928217,True
sp_ratio_hf_lf_II,-0.3264553048810198,8.519091940977603e-05,True,0.0001819076690926394,True
spf_8_10_AVL,-0.3262928474809149,0.010293261761548928,True,0.016606462308632268,True
max_II,-0.32584632274444314,0.0005207135668649759,True,0.0010040851249507902,True
sp_e_vlf_V4,0.32577778666827234,4.859399842565083e-09,True,1.7595632347642147e-08,True
sp_peak_V2,0.32541305436443657,1.4266349927630146e-05,True,3.39585903195393e-05,True
kurt_V6,-0.32422644248298604,0.008810199691446459,True,0.014325207113079797,True
impulse_V5,-0.32405182264450966,0.022479427315192518,True,0.0341423937883468,True
std_II,0.3236183345450635,0.1352201539690062,False,0.17359828785410875,False
rms_II,0.3234830500588119,0.1355515721720206,False,0.1738700378036872,False
sp_flux_I,-0.3221807055852655,0.00018827968801496956,True,0.00038504522112357153,True
sp_log_lf_V6,0.31875228422959095,0.018491449354458886,True,0.028442356422324473,True
ac_mean_abs_AVF,0.3183893772129041,0.0005936781291921644,True,0.0011327472320460219,True
dasym_2_V6,-0.31772796800314324,0.0052893129740045775,True,0.008817545853334842,True
d_std_II,-0.3173323388840165,0.02262225804018331,True,0.03432342599200227,True
slope_updown_ratio_III,0.31699553695517113,0.010540930031248494,True,0.01696832639176587,True
ac_peak_lag_ms_V2,0.3169634500720646,0.045559409577679316,True,0.06498257633279997,False
slope_up_frac_V4,-0.31616059016889186,0.03554841651218349,True,0.05187567917154817,False
ac_lag100_II,0.3159398828973981,0.004627473977949823,True,0.00783110980883816,True
