feature,d,d_ptb,d_nin,p_raw,ci_excl0,cross_ok,p_FDR,gate
qrs_posneg_ratio_med_V5,2.141408815930713,1.8252283248385004,2.28113728620407,2.2808251705153424e-30,True,True,2.6077434449558747e-28,True
delta_time_to_half_med_II,-1.7775535853747269,-1.8026204300327413,-1.6154094667925154,1.2070672766902965e-19,True,True,3.0668450067020125e-18,True
delta_ratio_init_peak_med_V5,1.6757724514560168,1.5065817292018666,1.7049557150351715,5.60757859335435e-26,True,True,3.497089922764622e-24,True
qrs_posneg_ratio_iqr_V5,1.6164893814368544,1.0921528868806738,2.2717813190603406,2.8863627055825737e-27,True,True,2.2000497955884952e-25,True
freq_hf_ratio_med_V5,-1.609198976420782,-1.437815345994993,-1.646742834244712,2.249472149348727e-40,True,True,1.5431378944532267e-37,True
delta_ratio_init_peak_med_II,1.56376099893483,1.6960119267127394,1.262765245573222,6.295318863876958e-23,True,True,1.962994882099815e-21,True
delta_slow_phase_ms_med_V5,-1.4463333698122762,-1.4045940468653835,-1.3295525108385926,2.5219220410110364e-23,True,True,9.105465895439847e-22,True
qrs_ninflect_med_V5,-1.4365704555097325,-1.3005204923373308,-1.4497600140423752,1.1657077291771016e-31,True,True,2.6655850073849723e-29,True
qrs_kurt_med_V5,-1.358361042917695,-1.2618549887101844,-1.339245378873506,9.42998401175212e-33,True,True,3.2344845160309775e-30,True
delta_slow_phase_ms_med_II,-1.3459939279789466,-1.4239855698592914,-1.1326922922306202,1.1124548887025722e-17,True,True,2.2445413342646016e-16,True
delta_time_to_half_med_V5,-1.331726362172623,-1.367569420270142,-1.1793781077391208,5.489966390799373e-31,True,True,9.415292360220925e-29,True
delta_t_to_max_med_II,-1.2655175118381916,-1.7067936800983223,-0.5747139740337903,2.4339011619569236e-07,True,True,1.6210254340800482e-06,True
delta_vel_quarter_med_V5,1.2597585140295289,1.2817293742812734,1.2352154848279355,3.111397122832177e-28,True,True,2.668023032828592e-26,True
delta_ratio_init_peak_med_V1,1.178838682730232,1.4698938510883814,0.8567691588400936,5.607892976128717e-25,True,True,3.205845484686916e-23,True
qrs_asym_med_V1,1.1753766254488276,0.2586618072648857,2.4199939269315505,0.051593743863980523,True,True,0.09705588105196784,False
delta_area_third_med_V5,1.1407146482569304,1.170395410336681,1.1765335758629603,1.251593093653121e-22,True,True,3.733012444548004e-21,True
st_slope_J40_med_V1,-1.1211422904780417,-0.7241755558069727,-1.7903604758793534,1.4787593326534095e-07,True,True,1.067819897052883e-06,True
delta_t_to_max_med_V1,-1.0936595240171918,-1.3547127115874182,-0.7930578147872485,6.199667618530395e-18,True,True,1.28877938979147e-16,True
delta_slow_phase_ms_med_V1,-0.9913785943698274,-1.2546513231609426,-0.7067860881988788,8.641236933802035e-19,True,True,1.975962845529399e-17,True
delta_t_to_max_med_V5,-0.9829228292629719,-1.196459290779565,-0.5707258551031177,1.1201227856317095e-12,True,True,1.506674962634025e-11,True
delta_time_to_half_med_V1,-0.9753572874237947,-1.3230988006008835,-0.6414996197204168,1.5763140840861605e-23,True,True,6.360890951077095e-22,True
delta_vel_half_med_V5,0.9671863291878213,1.0316814626316904,0.9232647207901609,1.4649378134908622e-24,True,True,7.730364154267165e-23,True
qrs_width75_med_II,0.9609006563060513,0.66085543968565,1.2074965575823973,1.5890317926462487e-15,True,True,2.7251895243883165e-14,True
RS_ratio_V1,0.9324483975237817,1.2028591673928428,0.06092155399561614,0.288503786888477,True,False,0.39662043648395834,False
qrs_kurt_med_II,-0.9161357021302626,-0.910559697161811,-0.8300019216495585,3.2868022207871107e-19,True,True,7.774987322275718e-18,True
up_slope_iqr_V1,0.9109739594899547,1.4848016570129303,0.3014389664642546,1.822625155225399e-09,True,True,1.623793320109901e-08,True
delta_smoothness_med_II,0.893259797052346,0.585824073285063,1.212337969246373,0.1772028786416957,True,True,0.2701359438848961,False
t_area_med_II,0.8914484242133134,1.3515165030802578,0.22886445008359602,1.4275407851356666e-05,True,True,6.994949847164766e-05,True
qrs_ninflect_med_V1,-0.8912227503827065,-0.49343563195467743,-1.1459621498679182,4.239380709055063e-18,True,True,9.08817239503679e-17,True
qrs_npeaks_med_V5,-0.8657225766219484,-0.7775798321415534,-0.8398787458335697,3.119354929423315e-16,True,True,5.631256530485247e-15,True
up_down_ratio_med_V1,0.8566139039188515,1.0026206635530313,0.05160446156263393,4.4808755578330055e-05,True,False,0.00020356825381943324,False
qrs_fwhm_med_V1,-0.8408546194345066,-0.883533437945716,-0.9982265369688385,2.829866358632991e-20,True,True,7.4664935462393535e-19,True
qrs_width50_med_V1,-0.8408546194345066,-0.883533437945716,-0.9982265369688385,2.829866358632991e-20,True,True,7.4664935462393535e-19,True
delta_vel_half_iqr_V1,0.834423354254871,1.4282683387274158,0.25179417756959055,1.2150350438421944e-09,True,True,1.1418000548982814e-08,True
freq_hf_ratio_med_II,-0.8317528227432077,-0.66649721638237,-0.9147381572856286,6.704602652993412e-14,True,True,9.785866850964854e-13,True
Q_amp_med_II,0.8122499946055854,0.43116319042430523,1.181934094001734,8.86045440860441e-14,True,True,1.2404636172046174e-12,True
delta_area_third_med_II,0.8019914877945252,0.900709584561996,0.7188439426509269,7.673394596858117e-14,True,True,1.0966559778009725e-12,True
qrs_width25_med_V1,-0.8008007162852354,-0.5994952193979409,-1.074082408775773,2.2999290798400713e-24,True,True,1.051834232513526e-22,True
qrs_area_med_V5,0.7949016136303134,0.8940851290723576,0.7989630167480084,1.7675636323452917e-14,True,True,2.7557923904292503e-13,True
