feature,d,d_ptb,d_nin,p_raw,ci_excl0,cross_ok,p_FDR,gate
med_d_qrsmax_t,2.383663247014092,2.740802682923115,1.9512984337250534,2.154668676803711e-39,True,True,6.625606181171411e-38,True
med_k_qrsmax_t,2.3713141183837445,2.4711021088639207,2.1763150262793434,1.039907106970713e-39,True,True,4.263619138579923e-38,True
ext_k_qrsmax_t,1.8294766898209671,1.9543089956145472,1.603121386419473,2.490628629342032e-38,True,True,6.126946428181399e-37,True
med_d_init40_magr,-1.7541327148403525,-2.149658438046995,-1.4561191600609684,2.9629167985700713e-30,True,True,2.603134044457991e-29,True
med_k_init40_magr,-1.6653904387834464,-2.1013323192616813,-1.3682241962125696,5.7901358592497954e-30,True,True,4.7479114045848324e-29,True
ext_d_init40_magr,-1.628189635748276,-1.8324326868488345,-1.435900491247584,3.2649077946138147e-34,True,True,5.01979573421874e-33,True
ext_d_qrsmax_t,1.5756334008773707,1.6946725289288234,1.3616552347609827,1.7669251113988144e-30,True,True,1.6717829900158013e-29,True
ext_k_init40_magr,-1.5635619347279095,-1.799023637648341,-1.3731026904490276,2.5462332801103176e-32,True,True,3.479852149484101e-31,True
med_k_init30_magr,-1.5608350893755276,-1.3555564197979202,-1.6613686449376364,1.2067579749848653e-40,True,True,1.300947079779464e-38,True
med_d_init30_magr,-1.4546776996382758,-1.3800542862625527,-1.4339090921758295,7.89845458006988e-38,True,True,1.3878713047837077e-36,True
ext_k_init30_magr,-1.4416243686644081,-1.252703163374525,-1.5297457946947626,2.1153611053324623e-40,True,True,1.300947079779464e-38,True
ext_d_init30_magr,-1.3660672864735508,-1.2567691967364403,-1.3817459921429247,5.178150825300819e-38,True,True,1.061520919186668e-36,True
med_d_init40_az,-1.170247062901578,-1.694798715196186,-0.8708604498421236,3.2791326697802777e-26,True,True,2.24074065768319e-25,True
ext_d_init40_el,-1.1164677736303743,-1.6024363144150735,-0.686673307829648,1.8597938036220113e-19,True,True,8.169808494482408e-19,True
ext_d_init30_el,-1.1161371913166183,-1.6276480995469391,-0.5887522305123949,3.6714945305393337e-17,True,True,1.4112307101760562e-16,True
ext_k_init40_el,-1.0946993512801333,-1.667098574530969,-0.5699976768630233,6.467306765285212e-20,True,True,2.9462175264077075e-19,True
med_d_init40_el,-1.0844028905229088,-1.7121591376209642,-0.5409682592026359,3.946807754608083e-18,True,True,1.6181911793893142e-17,True
med_k_init40_el,-1.0708197544921731,-1.725617768550275,-0.48942996312175313,3.826533837161583e-17,True,True,1.4262535211238625e-16,True
med_d_init30_el,-1.0639245383098166,-1.626661156447754,-0.462074920596013,8.828037685108441e-17,True,True,2.934726041265779e-16,True
ext_k_init30_el,-1.0613114909350068,-1.5958632115284297,-0.46431359808476863,1.4572061061611216e-14,True,True,4.371618318483365e-14,True
med_k_init30_el,-1.0435429526801467,-1.6620819682653534,-0.31346450054200464,4.67614080317563e-12,True,True,1.2781451528680056e-11,True
ext_d_init40_az,-1.02682000648886,-1.527457288662736,-0.68979650430013,2.8849163264993794e-21,True,True,1.612930491633744e-20,True
il_dpol_V4,0.947819784376291,1.0779791235983032,0.8557170145313697,1.0398942967962677e-23,True,True,6.395349925297047e-23,True
il_dpol_V3,0.9196012803049493,1.0843704990543808,0.8563211865120006,4.989402155924754e-20,True,True,2.3603710199182487e-19,True
il_dpol_V2,0.8824092667141867,0.9992002748441202,0.8487823592343386,1.7253858392608155e-17,True,True,6.845885749325172e-17,True
med_d_oct,-0.8792258284564857,-1.4676037630460856,-0.45325175009919555,1.7227672749186696e-27,True,True,1.324377342593727e-26,True
med_d_init20_magr,-0.8439577910234975,-0.8245408458870609,-0.8110051092588049,1.1977022166303315e-31,True,True,1.4731737264553078e-30,True
med_d_init30_az,-0.8391285292062098,-1.2138047618137882,-0.5091897674150511,1.1563414988252042e-15,True,True,3.646923188602567e-15,True
il_pratio,-0.8263026494300525,-0.8686267647107134,-0.8210723474758633,1.1484857057496692e-20,True,True,5.650549672288373e-20,True
