feature,d,d_ptb,d_nin,p_raw,ci_excl0,cross_ok,p_FDR,gate
swtdb4_A6_V4_logenergy,0.06242275396038732,0.7763898054063156,-0.07653245439463399,5.454723887877455e-11,False,False,2.361197087797473e-10,False
swtsym4_D3_I_gini,0.06231611168260156,-0.002890313478928659,0.02678565470786637,0.7670870995940847,False,False,0.8077659609361952,False
swtdb4_D6_II_nover3,0.06225247749741309,0.1413550312310625,0.008394069620837438,0.7041950699877969,False,False,0.7536684985112887,False
swtdb4_A6_V6_qrsmax,-0.062227151547744324,0.03877902356382969,-0.046958357227742574,0.16283325193425724,True,False,0.2122473541753121,False
swtdb4_cohA6D6_V2,0.06217126764271176,-0.268079775577887,0.2723370488077694,0.19767165915089835,False,False,0.25220524793245674,False
swtdb4_D3_III_p99,0.06205665035591344,0.15115399734527346,0.08015277205795027,0.06748899595490836,False,False,0.09621508141263858,False
swtsym4_D6_V3_kurt,0.06195262569641722,0.11094428905570936,0.010475647186947094,0.0010310536022339251,False,False,0.0019828563511062884,False
swtdb4_A6_V3_qrsonfrac,0.061949009715171074,0.5087577149587769,-0.09492737733289958,0.05510207527807701,False,False,0.08015429787543528,False
swtdb4_D6_II_gini,0.06194547395028874,0.09598976559031457,0.008911812435962762,0.2994729266105227,False,False,0.36249698228327426,False
swtsym4_D6_V3_crest,-0.061888547520252364,-8.250509177744304e-05,-0.14841724973690681,0.1657648365109391,False,False,0.21567530990658845,False
wptdb4_b3_I_energy,0.061856902060560354,0.03439670958640087,0.2231864236479035,5.587309064844269e-05,True,False,0.00012674022919528886,False
swtdb4_D6_V6_halfratio,-0.06182027964684726,0.039809208760814986,-0.18728080508322342,0.683361563675341,False,False,0.7364458447043597,False
dwtdb4_D4_I_mad,0.061708005144952734,-0.03147170787604279,0.1251440383301385,0.5096575655566336,False,False,0.574786219978678,False
dwtdb4_D5_V6_gini,-0.06165278894116138,0.200790673796167,-0.20949770954464264,0.9658264382993481,False,False,0.9724337016599474,False
swtdb4_D4_AVR_mad,0.061617374020079566,-0.06632472982361806,0.19476649381869215,0.8087226800896794,False,False,0.8429177861213821,False
swtdb4_D3_V5_skew,0.06157621480063269,0.04449999102893175,0.1220456556392727,0.6527825724377909,False,False,0.7087272710954016,False
swtdb4_A6_III_halfratio,-0.06132688970433955,-0.05587386426481041,-0.08310339849472906,0.6766247774630935,False,False,0.7306496302169442,False
dwtdb4_A6_V4_logenergy,0.061291391933633345,0.7706003871823864,-0.07759062899270322,6.91133379035172e-11,False,False,2.9259149142910323e-10,False
dwtdb4_D3_AVF_crest,0.061252159959899105,0.08446422739514167,0.0031240877865644627,0.47169529405227706,False,False,0.5368122018279723,False
dwtdb4_D6_V2_halfratio,-0.061246277837799394,0.015090632479963772,-0.18295065140816993,0.9539544659932291,False,False,0.9620290503486736,False
swtcoif3_D4_V1_p95,0.06114935517370978,-0.2861865082046587,0.3381808267636975,0.80747182547338,False,False,0.8419647873867043,False
wptdb4_b6_AVF_energy,-0.0610034553914023,-0.21561721449239524,0.06842610824850234,0.9294079130438108,False,False,0.9445665013794066,False
swtsym4_D5_I_halfratio,-0.06096526539115626,-0.10729177040931762,-0.08381566778198778,0.37867125593294093,False,False,0.4449046912624842,False
dwtdb4_D4_I_halfratio,-0.06073899847204049,0.03786356254686303,-0.1956671071962939,0.2942317661551189,False,False,0.356929880688537,False
swtcoif3_D6_V3_halfratio,-0.060707304079587555,-0.05182886514981037,-0.14452976333506196,0.9585407420663924,False,False,0.9660700651158565,False
dwtdb4_D4_V3_crest,-0.06057951218082343,0.08612927578010342,-0.21181829041177883,0.8925784376571632,False,False,0.9143219042039804,False
wptdb4_b5_II_crest,0.0605331242684893,0.06557925673489158,0.024105796877813605,0.5354077411623475,False,False,0.59763112575873,False
swtdb4_D3_AVR_kurt,-0.06052562611408706,-0.23486570970268272,0.05920894844252933,0.483940778120474,False,False,0.5490001482010546,False
swtsym4_D3_V6_kurt,0.0602400608667621,0.00267000330410405,0.11251800019782623,0.14149841312745087,False,False,0.1875153758712299,False
swtdb4_D5_V6_qrsonfrac,-0.060197179843547374,0.11203976159757821,-0.17116395065761836,0.7394989653864963,False,False,0.7837664582667168,False
swtdb4_D5_V6_gini,-0.059805644082544906,0.22971690107226783,-0.2095788682236051,0.9965447173150772,False,False,0.9969431758186018,False
swtsym4_D3_AVL_std,0.05967358779500438,0.17721499992230016,0.01252784879160432,0.050673962598586586,False,False,0.07461575729134151,False
swtdb4_D3_AVL_std,0.05967358779349806,0.17721499991986553,0.012527848790862243,0.050673962598586586,False,False,0.07461575729134151,False
swtdb4_D3_AVL_p99,0.059571224022677054,0.20727931308408748,-0.030579791914257273,0.11290856380119882,False,False,0.1535311014296736,False
dwtdb4_D4_V2_crest,0.05949447372328221,0.26135161424969505,-0.10273864464139211,0.12058906956824399,False,False,0.16264897685161533,False
dwtdb4_D4_V6_gini,-0.05932532222890292,0.09492987702494159,-0.17492766310946217,0.443146121561519,False,False,0.509888064450182,False
wptdb4_b4_AVF_crest,-0.05927402232936917,-0.007777848099304124,-0.1516971038066473,0.5853948363813573,False,False,0.6450298153367752,False
wptdb4_b8_AVL_energy,-0.05926789415015247,-0.028747164447722403,-0.06364942250832122,0.6347154581726062,True,False,0.6922659443539061,False
swtdb4_A6_AVR_qrs2mid,0.05914951361386949,0.058368304391548866,0.08613550834825662,1.4607547229121617e-18,True,False,1.3194253850997216e-17,False
swtdb4_D3_II_kurt,0.05905702803218622,0.07767749346103081,0.03304087251419017,0.11498522894310473,False,False,0.15610040304701467,False
swtcoif3_D6_V3_hjmob,0.05905110350613691,-0.3917793575235113,0.16204721822902032,2.4079665664075304e-11,False,False,1.0739273349646419e-10,False
wptdb4_b12_AVF_crest,-0.059041617223508674,-0.02127752264940845,-0.15076204820649433,0.9155365697403359,False,False,0.9342057493843069,False
swtcoif3_A6_V5_energy,0.05898768225443732,0.07879031120073172,0.0583927509521215,7.791169562125936e-12,True,False,3.643646026997961e-11,False
swtcoif3_D6_V4_halfratio,-0.058987599076412295,0.047178533006313486,-0.19852206459387275,0.7731914904168284,False,False,0.8123137136354839,False
swtdb4_D3_AVL_nover3,-0.05898477772207438,-0.09754783439668756,-0.07945426236578533,0.3750685964777837,False,False,0.44200493877362407,False
dwtdb4_D4_II_hjmob,0.0588576271810427,0.04743961186777724,-0.0009405414624707079,0.17249525258869391,False,False,0.22327114432328618,False
dwtdb4_D5_V1_kurt,0.05881406789988449,0.2575664923237054,-0.1261055212212147,0.22233733566107372,False,False,0.2793311643605355,False
dwtdb4_D5_V6_kurt,-0.05845286575240805,0.11921011854155548,-0.16874391635867628,0.8107991236267138,False,False,0.844554291138234,False
swtdb4_D4_V6_gini,-0.058411201050079783,0.1213568024537901,-0.1761268981315673,0.3307126376019607,False,False,0.3962714259591686,False
wptdb4_b8_V3_crest,0.058346785165980124,0.2837316880822944,-0.10539146372201508,0.1749863349255355,False,False,0.226144529950253,False
