feature,d,p_raw,ci_excl0,p_FDR,gate
pair_corr_II_AVR,2.2846407386592227,1.8550489331107177e-10,True,1.357184007050498e-09,True
pair_xpeak_AVR_V2,-2.070964281487111,5.540309047688501e-13,True,7.697597526434467e-12,True
med_k_init_rotspeed,-2.0395340604459378,3.35373842752256e-18,True,3.760978093721728e-16,True
pair_ratio_III_V3,1.9463066165665481,1.0534427305814457e-09,True,6.615620348051479e-09,True
pair_ratio_III_V2,1.8471138061975105,2.5394976371840413e-13,True,4.110320917916438e-12,True
pair_ratio_AVL_V1,1.8324696767145645,1.380709118967988e-13,True,2.4916245020456795e-12,True
pair_ratio_AVL_V3,1.8064290886364536,2.720170130171946e-10,True,1.9500763033652764e-09,True
pair_ratio_AVL_V2,1.7634172416988059,2.4253488804309885e-12,True,3.0462381938213217e-11,True
pair_xpeak_II_V5,-1.747963830915107,1.64186263602261e-09,True,1.0030055792044738e-08,True
pair_corr_II_V5,-1.7380197993357591,1.5086255771957548e-07,True,6.690797051404901e-07,True
med_d_traj_x33,1.7032725042154788,1.361252124911549e-10,True,1.0425199200542108e-09,True
med_d_traj_x32,1.6940006335380933,1.0897655289830696e-11,True,1.0828682787996325e-10,True
med_k_w20_40_path,-1.668331441248282,6.882202673212065e-24,True,1.0805058196942942e-20,True
med_d_traj_x34,1.6558881539089927,1.8781503256691046e-09,True,1.1297685867051703e-08,True
pair_ratio_III_V1,1.6465880566735875,1.3449676636285801e-13,True,2.4553479440661287e-12,True
pair_xpeak_AVF_V4,-1.6359161027648985,2.0969693670744597e-11,True,1.9952981250344857e-10,True
med_d_traj_x31,1.6295172587035398,6.4809604307158416e-12,True,7.115460053303408e-11,True
pair_xpeak_II_V6,-1.6219931999836301,2.642545433110698e-09,True,1.5538563033647177e-08,True
med_d_w20_40_path,-1.5993633257179398,5.165145892402543e-22,True,4.0546395255359963e-19,True
med_d_init_rotspeed,-1.5935330901456606,4.741089582545672e-14,True,1.0483817809291133e-12,True
med_d_traj_x35,1.5843195446660787,8.9846744939539e-08,True,4.1843133369769526e-07,True
pair_corr_II_V6,-1.5788639903698125,5.383667707392353e-08,True,2.63313342698006e-07,True
pair_xpeak_AVR_V3,-1.5675462270450653,6.462294976362912e-17,True,4.618534455202964e-15,True
ext_k_init_rotspeed,-1.5639172754178283,7.377486081993734e-17,True,4.826105478637568e-15,True
pair_xpeak_AVF_V5,-1.548866948199349,5.764653866288141e-11,True,4.892165713552639e-10,True
med_d_traj_z24,-1.5306048302744155,1.6589970163288194e-19,True,4.4288158847799104e-17,True
med_d_traj_z23,-1.5258656905749106,2.75293808865965e-19,True,6.147326666189514e-17,True
med_d_traj_x30,1.522270309657861,6.077903017611868e-12,True,6.86496959543211e-11,True
pair_ratio_III_V4,1.5000558563567234,5.595653937631754e-06,True,1.826440058644876e-05,True
med_d_traj_x36,1.4969758711980536,2.7634673425422648e-06,True,9.706138093492967e-06,True
med_d_traj_z25,-1.4920841052022449,3.1323957534723635e-19,True,6.147326666189514e-17,True
med_d_traj_z22,-1.4802864323213696,1.7156763395453357e-18,True,2.244676544238481e-16,True
pair_corr_AVF_V5,-1.4468530737928458,3.2330349984212885e-11,True,2.985802910306719e-10,True
pair_ratio_III_AVR,1.44082673552518,1.5635940012669276e-09,True,9.58922883589483e-09,True
med_k_traj_x32,1.427986020934712,4.1523532712576237e-10,True,2.834432450380204e-09,True
ext_d_traj_x32,1.413785865054217,1.376195949846653e-10,True,1.048848369543323e-09,True
med_d_traj_z26,-1.4118547844587337,2.8588984252711015e-18,True,3.452669636673561e-16,True
med_k_traj_x33,1.4112728743302683,8.156600025863992e-09,True,4.461972836448247e-08,True
pair_xpeak_V1_V2,-1.409383703203124,7.385174516730683e-13,True,1.0082368688058412e-11,True
med_d_w20_40_el,-1.4062814615558525,2.856416751723672e-13,True,4.3539556312681215e-12,True
med_d_traj_x37,1.4019805074260785,0.00020494145383141525,True,0.0005139905471490766,True
med_k_traj_x31,1.3880139266371272,1.9871444025478978e-10,True,1.4377035539171427e-09,True
pair_ratio_AVF_V2,1.3856931917519772,4.73377815800294e-09,True,2.6830439379294644e-08,True
ext_d_traj_x31,1.3852638677383275,6.706512938375748e-11,True,5.557332241249634e-10,True
med_d_traj_x29,1.3832215790785718,1.3813952053494154e-11,True,1.347074827576759e-10,True
pair_corr_AVR_AVF,1.3775192628130093,4.003851773494119e-12,True,4.762157033625581e-11,True
ext_d_traj_x33,1.368926403374491,2.8211937266959273e-09,True,1.646570316324389e-08,True
med_k_traj_x34,1.3671809094419056,1.370531405593878e-07,True,6.147812305092538e-07,True
med_d_init35_el,-1.3657652117759733,2.808635201060229e-13,True,4.3332845940807995e-12,True
med_d_init30_el,-1.3464245107126056,1.2342357134913362e-13,True,2.2797059649192915e-12,True
med_k_traj_z25,-1.3426398510105926,5.572475293567558e-17,True,4.3743931054505326e-15,True
med_k_traj_z24,-1.3423557057788305,6.715552669694443e-17,True,4.618534455202964e-15,True
ext_d_w20_40_path,-1.3420084820071232,7.986463509691474e-19,True,1.1398861554741467e-16,True
ext_d_w20_40_el,-1.3356652197286463,1.4838805505848515e-13,True,2.6473778004752463e-12,True
pair_corr_AVF_V4,-1.3323600245125353,5.234023543276607e-11,True,4.490391783029657e-10,True
ext_k_w20_40_path,-1.3298154756194194,4.281602513200557e-19,True,7.469017717472083e-17,True
pair_ratio_AVL_V4,1.3196335364348242,2.8834362004658273e-06,True,1.010489918466819e-05,True
pair_ratio_AVF_V3,1.3183259549339599,8.691623426365497e-07,True,3.3610464973876426e-06,True
ext_d_traj_x30,1.3172311842168205,1.298983627328592e-10,True,1.0046326575891082e-09,True
med_k_traj_x30,1.3109928648636238,2.8130975607287893e-10,True,1.9984448734589136e-09,True
ext_d_traj_x34,1.3103325629284013,3.316548002642643e-08,True,1.685106913964061e-07,True
med_k_traj_x35,1.3096759090342522,4.2199027035620515e-06,True,1.4109166407898422e-05,True
med_d_traj_x38,1.306660781302905,0.002914100278243254,True,0.0056763491772232125,True
pair_xpeak_AVF_V6,-1.3065158626540205,3.030955239156266e-10,True,2.13390122218625e-09,True
med_d_traj_z27,-1.2998991376048972,1.21138375491143e-16,True,7.31489421234979e-15,True
ext_k_w20_40_el,-1.2996149780699078,1.2186119389247495e-13,True,2.2776437429903056e-12,True
med_d_traj_y17,-1.298256307424643,5.4974345912618775e-15,True,1.7505888785492127e-13,True
med_k_traj_z23,-1.2980966865728922,3.718429714774709e-16,True,1.8832047265149335e-14,True
med_k_traj_z26,-1.2977322761992205,2.430235990653174e-16,True,1.3156794845949943e-14,True
pair_xpeak_III_V4,-1.29411554710709,8.460503962149205e-13,True,1.1450854500495045e-11,True
pair_lag_II_V4,-1.2927258950785996,3.674820772413439e-08,True,1.849188657913173e-07,True
pair_xpeak_I_AVF,-1.291650223901695,1.4600337276266747e-10,True,1.102044688641288e-09,True
med_d_traj_y16,-1.2905275627228336,2.9577150860171154e-15,True,1.1056220678683027e-13,True
med_d_traj_z21,-1.2864151646875261,1.0161551971460744e-15,True,4.590624601396439e-14,True
med_k_traj_x5,1.2838475642263754,3.5473049993296796e-17,True,3.0940382494153318e-15,True
med_k_init10_dev,-1.278905924528357,5.5078081618167934e-15,True,1.7505888785492127e-13,True
pair_xpeak_I_II,-1.2787043693729625,2.9728264616498714e-08,True,1.52282835010496e-07,True
med_d_traj_y18,-1.2775424284483008,2.9906473851005486e-14,True,7.336431866574784e-13,True
ext_d_init30_el,-1.2756261036739553,4.246587208307572e-14,True,9.80462046623954e-13,True
ext_d_traj_z24,-1.271573483796736,4.646733807194274e-17,True,3.839669514365795e-15,True
ext_d_traj_z23,-1.270985781113207,8.001378575801197e-17,True,5.024865745603152e-15,True
ext_d_init35_el,-1.2605541161581342,4.529073313709631e-13,True,6.348790270110822e-12,True
med_d_traj_y15,-1.2556624611340006,3.4515836448769346e-15,True,1.260229377315532e-13,True
ext_k_init35_el,-1.251253599645644,1.7964195677024872e-13,True,3.0993172761460493e-12,True
ext_d_init_rotspeed,-1.2503985213952322,8.683975848074325e-14,True,1.7042302601845862e-12,True
pair_corr_AVF_V6,-1.2486447489862016,1.6711137243738157e-10,True,1.231759881345958e-09,True
med_k_traj_x36,1.2435320048994059,6.648824652864155e-05,True,0.0001824939633740686,True
med_k_traj_x6,1.2432442717024788,2.016466933129574e-15,True,7.914632712533578e-14,True
ext_d_traj_z25,-1.2411567298868533,1.575133113374301e-16,True,9.15910736295427e-15,True
ext_d_traj_z22,-1.239887353563679,4.0404395873203865e-16,True,1.9823406725290647e-14,True
pair_ratio_AVF_V4,1.2381472085566398,0.005862155805701025,True,0.010591006461393106,True
ext_d_traj_x35,1.2380674928536526,1.009956550598129e-06,True,3.830028464828653e-06,True
pair_xpeak_AVR_V4,-1.2366365790582454,3.613455632611058e-18,True,3.782083562132908e-16,True
pair_xpeak_II_V4,-1.236321342092552,2.1332112792506046e-06,True,7.629024392764122e-06,True
ext_d_traj_y16,-1.2347926284318413,2.085376847267746e-15,True,7.985467439537466e-14,True
ext_d_traj_y17,-1.2316888387801364,8.386616238822813e-15,True,2.4383310175836697e-13,True
pair_xpeak_III_V3,-1.2304334736191507,1.0720599512370565e-11,True,1.0788513756703124e-10,True
med_d_traj_y19,-1.229667549252472,3.2398754165779524e-13,True,4.844385146692748e-12,True
med_d_traj_x28,1.2196012225970787,6.357869441701691e-11,True,5.309497352910455e-10,True
pair_lag_AVF_V4,-1.2191689453825603,3.9781139074603114e-08,True,1.9954117682788143e-07,True
med_d_qareaE_el,-1.2169991468709336,1.4440757100670212e-10,True,1.095265152079818e-09,True
med_d_traj_x39,1.216745848581133,0.021686016806673526,True,0.03460065689682666,True
med_k_w20_40_el,-1.2159172476896913,4.5628315302361195e-11,True,4.0020365935590547e-10,True
med_k_traj_z22,-1.2154316361259563,7.364415313237073e-15,True,2.2234869311119625e-13,True
ext_d_traj_y15,-1.2151594044300296,1.0233876499928366e-15,True,4.590624601396439e-14,True
med_k_traj_z27,-1.213867960972017,3.758487730397462e-15,True,1.341096758346367e-13,True
ext_k_init30_el,-1.2122289140758766,8.661399530843637e-14,True,1.7042302601845862e-12,True
ext_d_traj_x29,1.21146940455472,6.160632887012639e-10,True,4.0810943597509884e-09,True
med_d_init40_el,-1.2086957405875922,1.2803026844067674e-11,True,1.2562970090741405e-10,True
ext_d_traj_y18,-1.2055900223123424,7.087175353221223e-14,True,1.4450474421503013e-12,True
med_k_traj_x29,1.2006456239445156,1.559254917878995e-09,True,9.58922883589483e-09,True
med_d_traj_y14,-1.1988709837630735,7.906791689851068e-15,True,2.3422005571822977e-13,True
med_k_traj_x4,1.1875083796775723,7.340785364506429e-19,True,1.1398861554741467e-16,True
