comparison,label,AP_A,AP_B,delta_A_minus_B,ci_lo,ci_hi,ci_excludes_zero,seed_sd_A,seed_sd_B,seed_sd_fold,n_ecg,verdict
1_add_M5_to_committee,Adding M5 spatial to the M3+M4 committee,0.6683,0.7173,-0.0491,-0.0802,-0.0207,True,,,,53540,significantly worse: adding the weak M5 detector (standalone AP 0.429) hurts the committee (CI excludes 0)
2_feature_union_v1_vs_vote,Feature-union model (v1) vs the M3+M4 vote,0.7265,0.7173,0.0092,-0.0269,0.042,False,0.0184,0.0,A=fold9 (frozen multiseed); B=deterministic vote,53540,"not statistically separable: +0.009, CI includes 0"
3_feature_union_clinical_v2_vs_vote,Feature-union + clinical model (v2) vs the M3+M4 vote,0.7399,0.7173,0.0226,-0.0086,0.0561,False,0.0241,0.0,A=fold9 (frozen multiseed); B=deterministic vote,53540,"not statistically separable: +0.023 (a trend), CI includes 0"
4_cnn_vs_wavelet,CNN (M7) vs wavelet detector (M3),0.6508,0.6188,0.032,-0.0166,0.0833,False,0.0183,0.0341,A=OOF (M7 run9 from-scratch seed SD); B=fold9 (M3 frozen multiseed),53538,"not statistically separable: +0.032, CI includes 0 (paired on the 53538 ECGs common to M3 and M7)"
5_pretraining_vs_scratch,Self-supervised pretraining (finetune) vs from-scratch (M7),0.6251,0.6285,-0.0033,N/A (not computable without retraining),N/A,N/A,0.0154,0.0183,"OOF (mini-OOF, m7_run9_transfer_ab)",N/A,no benefit: point APs tied (0.625 vs 0.628); seed-mean advantage +0.014 at 1.04 sigma; gate_pass = false
