model,OOF_AP,fold9_AP,fold10_AP,fold10_CI,fold10_AUC,recall_ownF1,precision_ownF1
M7,0.651,0.791,0.745,"[0.529,0.940]",0.978,0.714,0.714
ENSEMBLE(M3+M4),0.717,,0.595,"[0.346,0.854]",0.95,0.571,0.727
best,0.727,0.79,0.553,"[0.313,0.812]",0.934,0.5,0.636
M4,0.718,0.837,0.552,"[0.296,0.828]",0.903,0.571,0.444
M3,0.619,0.654,0.544,"[0.310,0.802]",0.957,0.429,0.6
M5v2,0.429,0.443,0.301,"[0.095,0.589]",0.913,0.5,0.269
M2,0.299,0.399,0.276,"[0.082,0.535]",0.897,0.286,0.308
M1,0.198,0.665,0.251,"[0.065,0.498]",0.941,0.143,0.5
